Wavenumber [1/cm],A,B,C
1096.372649,0.11017325,0.052585345,0.02077428
1092.643491,0.12507029,0.052414172,0.02385641
1088.914332,0.180177305,0.053250477,0.02843614
1085.185173,0.291135568,0.054361107,0.03565194
1081.456015,0.359427534,0.055397354,0.04512574
1077.726856,0.29384077,0.056380744,0.05133935
1073.997697,0.208933569,0.057622835,0.05204108
1070.268539,0.160264507,0.059946019,0.04972157
1066.53938,0.139831199,0.06493712,0.04492193
1062.810221,0.135597902,0.07314759,0.04030908
1059.081063,0.141254864,0.084441704,0.03683359
1055.351904,0.155660872,0.100318424,0.03451608
1051.622745,0.181472089,0.126045551,0.03366243
1047.893587,0.217355444,0.175547133,0.0328462
1044.164428,0.246220988,0.281109459,0.03088093
1040.435269,0.25166131,0.475884844,0.02842818
1036.706111,0.270377958,0.675166684,0.02819169
1032.976952,0.356214551,0.622700303,0.03022176
1029.247793,0.359787779,0.42895598,0.0329985
1025.518635,0.241715487,0.285775712,0.0364112
1021.789476,0.165808013,0.208170182,0.03842887
1018.060317,0.134182299,0.172223244,0.03631311
1014.331159,0.121478379,0.159679259,0.03253993
1010.602,0.11648276,0.150799883,0.02957653
1006.872841,0.116979897,0.133827575,0.02840227
1003.143683,0.117469454,0.118955832,0.02745853
999.4145239,0.113340692,0.113064647,0.02602018
995.6853652,0.109190328,0.113431451,0.02575363
991.9562065,0.10925521,0.113053043,0.02615431
988.2270479,0.111961188,0.107891662,0.02573446
984.4978892,0.114777988,0.102323387,0.02438364
980.7687305,0.115541651,0.099529295,0.02338522
977.0395719,0.113429046,0.099099512,0.02350578
973.3104132,0.111291322,0.099106953,0.02461936
969.5812545,0.111139601,0.097898833,0.02765595
965.8520958,0.111525136,0.094329514,0.03441662
962.1229372,0.108718002,0.088472585,0.04023286
958.3937785,0.104684867,0.082233219,0.04109589
954.6646198,0.101445614,0.076630964,0.04142042
950.9354612,0.099603436,0.072171267,0.04464775
947.2063025,0.097648433,0.069099601,0.04874421
943.4771438,0.094399796,0.066281573,0.0524537
939.7479851,0.090735957,0.063822692,0.06000934
936.0188265,0.089823562,0.0619678,0.07226737
932.2896678,0.091351794,0.060063475,0.07943321
928.5605091,0.09042515,0.058722802,0.07205146
924.8313505,0.085978596,0.057709255,0.05540451
921.1021918,0.083696906,0.056756194,0.04302179
917.3730331,0.084606303,0.056191405,0.03902621
913.6438745,0.086842564,0.055972622,0.04134526
909.9147158,0.089386026,0.05584266,0.04726895
906.1855571,0.09581149,0.056001423,0.05620815
902.4563984,0.115874373,0.056060604,0.06609747
898.7272398,0.151702501,0.05625026,0.06294831
894.9980811,0.161918256,0.056614717,0.04878921
891.2689224,0.129397786,0.056931403,0.0414039
887.5397638,0.099199462,0.058216352,0.04163907
883.8106051,0.085326857,0.059695318,0.04058237
880.0814464,0.081678561,0.061610112,0.04210598
876.3522877,0.083473185,0.064729684,0.04616094
872.6231291,0.083962035,0.068455607,0.043247
868.8939704,0.081080272,0.073549755,0.04224901
865.1648117,0.07875021,0.080820356,0.0434806
861.4356531,0.077277744,0.090446293,0.0391528
857.7064944,0.078873756,0.10284038,0.03606278
853.9773357,0.084162117,0.115082579,0.03487622
850.248177,0.091735967,0.120033917,0.03287472
846.5190184,0.099616375,0.114347635,0.03162726
842.7898597,0.102792208,0.102556709,0.03183572
839.060701,0.09751717,0.090207594,0.03382093
835.3315424,0.088935832,0.080690467,0.03820295
831.6023837,0.08180749,0.073843868,0.04014385
827.873225,0.076381161,0.067498104,0.03704819
824.1440663,0.073580963,0.062483655,0.03251876
820.4149077,0.073481786,0.059475298,0.02980025
816.685749,0.073748402,0.056262544,0.02812597
812.9565903,0.074078184,0.053269903,0.0267602
809.2274317,0.075173629,0.052267286,0.02680128
805.498273,0.07512035,0.051147372,0.02706636
801.7691143,0.075554416,0.05022684,0.02775324
798.0399556,0.0774373,0.050645504,0.02967705
794.310797,0.081852652,0.051376599,0.03296121
790.5816383,0.0997269,0.05214542,0.03953589
786.8524796,0.125710823,0.055707758,0.05146092
783.123321,0.121623052,0.065422601,0.06554215
779.3941623,0.102654441,0.084454092,0.08058542
775.6650036,0.095799856,0.101722532,0.09722787
771.9358449,0.097474178,0.095467187,0.10256933
768.2066863,0.102103839,0.077169594,0.0908252
764.4775276,0.108507986,0.067712813,0.07396589
760.7483689,0.119593838,0.066333031,0.06141112
757.0192103,0.139894485,0.067101595,0.05970139
753.2900516,0.175734856,0.068839231,0.06875676
749.5608929,0.222914999,0.071622253,0.08560572
745.8317342,0.284997332,0.074242066,0.10094917
742.1025756,0.388314794,0.077622459,0.10884567
738.3734169,0.587186268,0.081618654,0.10901685
734.6442582,0.950494742,0.086578673,0.11360481
730.9150996,1.530551451,0.092866042,0.15033111
727.1859409,1.935967982,0.09859216,0.22697809
723.4567822,1.608787123,0.105696234,0.28063922
719.7276235,1.091636563,0.115614773,0.23596607
715.9984649,0.736822966,0.127112922,0.15924897
712.2693062,0.534548223,0.141451388,0.10737869
708.5401475,0.459814708,0.160080097,0.07811097
704.8109889,0.510939427,0.184088818,0.06087929
701.0818302,0.707916465,0.216548958,0.04986297
697.3526715,1.122379732,0.261185537,0.04255249
693.6235128,1.555336229,0.32748327,0.0366648
689.8943542,1.104651972,0.444982967,0.03163796
686.1651955,0.737092254,0.655685261,0.02970509
682.4360368,0.576633132,0.999364823,0.02935305
678.7068782,0.510765762,1.445420951,0.02881458
674.9777195,0.438899137,1.723819015,0.02880537
671.2485608,0.349044431,1.642899453,0.02704684
667.5194021,0.274275264,1.593415839,0.02521685
663.7902435,0.23065627,1.577234045,0.02452387
660.0610848,0.206265701,1.467028404,0.02467453
656.3319261,0.187445314,1.226676683,0.02493508
652.6027675,0.178485616,0.982794203,0.02657334
648.8736088,0.168594683,0.804500794,0.02521854
