points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,32.913572809294294,58.200433089804875,19.31899085471625,33,0.0001,True,2000,4,als,5,rxn2,0.32913572809294295,
"(1, 3)",True,32.91496234922423,57.1902432996755,18.259661775662927,29,0.0001,True,2000,4,als,5,rxn2,0.32914962349224236,
"(1, 4)",True,32.93796342254684,56.28849710342755,19.54844717931605,21,0.0001,True,2000,4,als,5,rxn2,0.3293796342254684,
"(1, 5)",True,32.960024424889575,54.973650347311796,24.73758381210468,61,0.0001,True,2000,4,als,5,rxn2,0.3296002442488958,
"(1, 6)",True,32.94752778027916,55.86588560378739,17.829500465481356,17,0.0001,True,2000,4,als,5,rxn2,0.3294752778027916,
"(1, 7)",True,32.923175506965926,56.897545409264616,17.581684076045267,19,0.0001,True,2000,4,als,5,rxn2,0.32923175506965924,
"(1, 8)",True,32.933269211530494,56.20884923263441,17.637229870577077,19,0.0001,True,2000,4,als,5,rxn2,0.32933269211530497,
"(1, 9)",True,32.91976566780772,56.93812586310078,17.30480890190871,22,0.0001,True,2000,4,als,5,rxn2,0.32919765667807716,
"(1, 10)",True,32.919174028696276,58.39965182923893,16.496468424230457,23,0.0001,True,2000,4,als,5,rxn2,0.32919174028696274,
"(1, 11)",True,32.92403046903579,57.70839314528561,16.44730767943402,22,0.0001,True,2000,4,als,5,rxn2,0.3292403046903579,
"(1, 12)",True,32.92752685112404,60.748178484008925,15.092829315498332,26,0.0001,True,2000,4,als,5,rxn2,0.3292752685112404,
"(1, 13)",True,32.9170390164785,57.07849266537226,15.084081347897456,40,0.0001,True,2000,4,als,5,rxn2,0.329170390164785,
"(1, 14)",True,32.91583089865747,57.06084792085193,14.790377027239103,41,0.0001,True,2000,4,als,5,rxn2,0.32915830898657467,
"(1, 15)",True,32.909232002660474,57.873890439768225,14.750381904604916,40,0.0001,True,2000,4,als,5,rxn2,0.3290923200266047,
"(1, 16)",True,32.910776410138595,57.432982702799926,15.214886826612371,38,0.0001,True,2000,4,als,5,rxn2,0.3291077641013859,
"(1, 17)",True,32.90586556159151,58.96034211315439,13.269704091860103,38,0.0001,True,2000,4,als,5,rxn2,0.32905865561591513,
"(1, 18)",True,32.89928382862458,59.13892030913384,14.510324507730234,41,0.0001,True,2000,4,als,5,rxn2,0.3289928382862458,
"(1, 19)",True,32.9047065822938,59.50980324079407,14.53677928386015,42,0.0001,True,2000,4,als,5,rxn2,0.32904706582293797,
"(1, 20)",True,32.90314254681212,58.22510944098933,15.589858712103968,40,0.0001,True,2000,4,als,5,rxn2,0.3290314254681212,
"(1, 21)",True,32.903376428934884,58.91303199240675,15.957885452368766,39,0.0001,True,2000,4,als,5,rxn2,0.32903376428934883,
"(1, 22)",True,32.902615282789185,59.322997144675675,15.869603533685767,40,0.0001,True,2000,4,als,5,rxn2,0.3290261528278919,
"(1, 23)",True,32.90336468138784,59.141732118374485,15.205777814789698,40,0.0001,True,2000,4,als,5,rxn2,0.3290336468138784,
"(1, 24)",True,32.9027867963869,59.933305318677476,15.52085418095493,40,0.0001,True,2000,4,als,5,rxn2,0.329027867963869,
"(1, 25)",True,32.90374376005269,59.37582772187956,15.48509045471736,40,0.0001,True,2000,4,als,5,rxn2,0.32903743760052695,
"(1, 26)",True,32.90513378998493,59.053672425036936,16.477996262276918,40,0.0001,True,2000,4,als,5,rxn2,0.3290513378998493,
