points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,32.9002625221952,54.85900517242164,22.647561986060328,38,0.0001,True,2000,4,mvol,5,rxn2,0.3290028297423897,1e-06
"(1, 3)",True,32.89571609897643,54.16003768813761,17.524827296970873,64,0.0001,True,2000,4,mvol,5,rxn2,0.32895737411449394,1e-06
"(1, 4)",True,32.92062062941215,53.9169922000674,19.078624972049163,55,0.0001,True,2000,4,mvol,5,rxn2,0.3292064210450795,1e-06
"(1, 5)",True,32.90987524756077,53.45435261973961,13.332383446093386,62,0.0001,True,2000,4,mvol,5,rxn2,0.3290989900329856,1e-06
"(1, 6)",True,32.90732621562129,55.35622251501832,10.664005533087266,78,0.0001,True,2000,4,mvol,5,rxn2,0.32907350282658443,1e-06
"(1, 7)",True,32.90141890876038,53.26451657844874,11.89877298237321,68,0.0001,True,2000,4,mvol,5,rxn2,0.3290144233329805,1e-06
"(1, 8)",True,32.9020863912877,54.32487617249296,10.026948268301757,74,0.0001,True,2000,4,mvol,5,rxn2,0.3290210998764446,1e-06
"(1, 9)",True,32.89402182750736,54.511136138774184,8.789121284818927,75,0.0001,True,2000,4,mvol,5,rxn2,0.328940446457435,1e-06
"(1, 10)",True,32.893606854432534,55.0040337714509,8.195465898155419,71,0.0001,True,2000,4,mvol,5,rxn2,0.3289362950752349,1e-06
"(1, 11)",True,32.894831460745586,55.5904230837297,7.489092196316649,71,0.0001,True,2000,4,mvol,5,rxn2,0.32894853898167925,1e-06
"(1, 12)",True,32.895525777171095,56.086548443935726,7.610160429297007,70,0.0001,True,2000,4,mvol,5,rxn2,0.32895547705535744,1e-06
"(1, 13)",True,32.89477659660302,54.54793426628747,9.438166196981703,58,0.0001,True,2000,4,mvol,5,rxn2,0.3289479789944615,1e-06
"(1, 14)",True,32.89682763934752,54.817092936497644,9.566738548707752,53,0.0001,True,2000,4,mvol,5,rxn2,0.3289684858577188,1e-06
"(1, 15)",True,32.89224945632024,54.83949582306106,10.021114369560369,48,0.0001,True,2000,4,mvol,5,rxn2,0.328922701532477,1e-06
"(1, 16)",True,32.891774082492134,54.862284924903456,9.776367413257521,46,0.0001,True,2000,4,mvol,5,rxn2,0.3289179475355974,1e-06
"(1, 17)",True,32.88865762309142,54.93069624779732,9.475263431250854,48,0.0001,True,2000,4,mvol,5,rxn2,0.32888678184191295,1e-06
"(1, 18)",True,32.88433766969895,54.936446717177304,9.691431389287116,49,0.0001,True,2000,4,mvol,5,rxn2,0.32884358104786343,1e-06
"(1, 19)",True,32.885666747389536,54.947178984127284,9.715587326133893,49,0.0001,True,2000,4,mvol,5,rxn2,0.32885687142112074,1e-06
"(1, 20)",True,32.884198516277934,54.362391780861756,10.584950324647403,42,0.0001,True,2000,4,mvol,5,rxn2,0.3288421888087265,1e-06
