points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,0.00017502098742930357,0.00047369639934985447,0.0010778861249394738,744,0.0001,True,2000,4,mvol,0,rxn1,6.211043569005267e-05,1e-06
"(1, 3)",True,0.00017318133875675353,0.00046087439508269687,0.0010583731849574084,719,0.0001,True,2000,4,mvol,0,rxn1,6.210992749067749e-05,1e-06
"(1, 4)",True,0.00017150029580024389,0.0004599514444430303,0.0010417185459231505,704,0.0001,True,2000,4,mvol,0,rxn1,6.210946500267798e-05,1e-06
"(1, 5)",True,0.0001703632647283916,0.0004646815777163713,0.0010274208620164025,690,0.0001,True,2000,4,mvol,0,rxn1,6.210915552652521e-05,1e-06
"(1, 6)",True,0.00017019654572918388,0.00047576187918890045,0.0010169361863102578,678,0.0001,True,2000,4,mvol,0,rxn1,6.210911368071073e-05,1e-06
"(1, 7)",True,0.00016871886363634722,0.00048746330802953573,0.0009985636313766951,659,0.0001,True,2000,4,mvol,0,rxn1,6.210871388941779e-05,1e-06
"(1, 8)",True,0.00016570640639629094,0.0004990243973442579,0.0009705747192438215,638,0.0001,True,2000,4,mvol,0,rxn1,6.210790555191982e-05,1e-06
"(1, 9)",True,0.00016436556062912234,0.0005199631398683702,0.0009514764687263205,613,0.0001,True,2000,4,mvol,0,rxn1,6.210755310316716e-05,1e-06
"(1, 10)",True,0.00016170453429232982,0.0005386663059005743,0.0009238380969796568,585,0.0001,True,2000,4,mvol,0,rxn1,6.210685741525256e-05,1e-06
"(1, 11)",True,0.0001593008499429457,0.0005599355778146466,0.0008970662305941586,553,0.0001,True,2000,4,mvol,0,rxn1,6.210623911104647e-05,1e-06
"(1, 12)",True,0.00015781800980150344,0.0005876334615887885,0.0008748814789207726,516,0.0001,True,2000,4,mvol,0,rxn1,6.210586419887728e-05,1e-06
"(1, 13)",True,0.00015372918892441422,0.0006021101604471146,0.0008382093561162509,472,0.0001,True,2000,4,mvol,0,rxn1,6.210483971351157e-05,1e-06
"(1, 14)",True,0.0001525885373742252,0.0006299406973771912,0.000818416553960616,408,0.0001,True,2000,4,mvol,0,rxn1,6.210456132799322e-05,1e-06
"(1, 15)",True,0.0001246581107729104,0.00045458746903803227,0.0005965028513946523,292,0.0001,True,2000,4,mvol,0,rxn1,6.209818772509154e-05,1e-06
"(1, 16)",True,0.00011833736750962186,0.0008292164561423615,0.0005256702943993349,315,0.0001,True,2000,4,mvol,0,rxn1,6.209685850875088e-05,1e-06
"(1, 17)",True,0.00011793685979295967,0.0008941703401274121,0.0005134217305440132,340,0.0001,True,2000,4,mvol,0,rxn1,6.209677955476575e-05,1e-06
"(1, 18)",True,0.0001154416154696218,0.0009452917615229449,0.0004928552598656138,364,0.0001,True,2000,4,mvol,0,rxn1,6.209631183030371e-05,1e-06
"(1, 19)",True,0.00011482201089040772,0.0009982827525102159,0.00048584453730273554,386,0.0001,True,2000,4,mvol,0,rxn1,6.209619861152509e-05,1e-06
"(1, 20)",True,0.00011498039052221546,0.0010420274546701373,0.000488118565241675,407,0.0001,True,2000,4,mvol,0,rxn1,6.209623073470132e-05,1e-06
"(1, 21)",True,0.000118177327303481,0.0010976001343582747,0.0005077837777319263,426,0.0001,True,2000,4,mvol,0,rxn1,6.209683198134865e-05,1e-06
"(1, 22)",True,0.0001191221229247344,0.0011194833564087364,0.0005209686351855777,444,0.0001,True,2000,4,mvol,0,rxn1,6.209701677591814e-05,1e-06
"(1, 23)",True,0.00011971339409867917,0.0011249472144590972,0.0005334831592478537,461,0.0001,True,2000,4,mvol,0,rxn1,6.209713630669445e-05,1e-06
"(1, 24)",True,0.00012549035745543948,0.001157504694185548,0.0005691567428997551,475,0.0001,True,2000,4,mvol,0,rxn1,6.209828022962469e-05,1e-06
