points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,32.899012712261914,55.01001204234615,21.723247704503617,42,0.0001,True,2000,4,mvol,5,rxn2,0.3291925441842165,0.001
"(1, 3)",True,32.89461713345532,54.51374266924463,17.19655064815946,67,0.0001,True,2000,4,mvol,5,rxn2,0.3291565632987001,0.001
"(1, 4)",True,32.92081015880295,54.18864401129452,19.14617386715759,55,0.0001,True,2000,4,mvol,5,rxn2,0.3294200211450761,0.001
"(1, 5)",True,32.90907252552998,53.34567428512863,13.175403645080031,64,0.0001,True,2000,4,mvol,5,rxn2,0.3293266474836974,0.001
"(1, 6)",True,32.90818797660979,54.792238967188965,11.11367653177653,75,0.0001,True,2000,4,mvol,5,rxn2,0.3293203501550076,0.001
"(1, 7)",True,32.90061311284385,53.16355470022266,11.699310372487373,68,0.0001,True,2000,4,mvol,5,rxn2,0.3292378580961768,0.001
"(1, 8)",True,32.900525870356674,54.17114703449868,9.56572912431662,75,0.0001,True,2000,4,mvol,5,rxn2,0.3292378992298811,0.001
"(1, 9)",True,32.893980544763394,54.39546860543069,8.863531893162087,73,0.0001,True,2000,4,mvol,5,rxn2,0.3291639337463497,0.001
"(1, 10)",True,32.89332920979982,54.87273134539886,8.217006255446632,71,0.0001,True,2000,4,mvol,5,rxn2,0.32915585168010175,0.001
"(1, 11)",True,32.8956256093607,55.37393039621202,7.768515654046873,68,0.0001,True,2000,4,mvol,5,rxn2,0.3291764070947426,0.001
"(1, 12)",True,32.89685938104498,55.93902486177613,8.083907680716555,66,0.0001,True,2000,4,mvol,5,rxn2,0.3291836164445237,0.001
"(1, 13)",True,32.89591730581972,54.77888904427939,9.94172916165936,54,0.0001,True,2000,4,mvol,5,rxn2,0.3291683538478927,0.001
"(1, 14)",True,32.89793741034241,55.06520499644135,10.135932505357573,50,0.0001,True,2000,4,mvol,5,rxn2,0.329184982950077,0.001
"(1, 15)",True,32.89323181622284,55.07164897218703,10.608990143553664,45,0.0001,True,2000,4,mvol,5,rxn2,0.32913581219627597,0.001
"(1, 16)",True,32.89196972905987,55.12389841034625,10.20948355155942,45,0.0001,True,2000,4,mvol,5,rxn2,0.32912324041063484,0.001
"(1, 17)",True,32.888982638356325,55.179460332993976,9.934317370342955,47,0.0001,True,2000,4,mvol,5,rxn2,0.3290924254187302,0.001
"(1, 18)",True,32.884705525732414,55.16476566798886,10.128235844010488,48,0.0001,True,2000,4,mvol,5,rxn2,0.32904870248213747,0.001
"(1, 19)",True,32.885950473362826,55.23313551088727,10.208176212526006,48,0.0001,True,2000,4,mvol,5,rxn2,0.32906051866410185,0.001
"(1, 20)",True,32.8844619152473,54.66879212097368,11.010508476101178,41,0.0001,True,2000,4,mvol,5,rxn2,0.32904563452995994,0.001
"(1, 21)",True,32.883619590038236,54.72517416610774,11.169918335874033,39,0.0001,True,2000,4,mvol,5,rxn2,0.3290366899431963,0.001
"(1, 22)",True,32.88415279748701,54.98111869755849,10.60322923242375,41,0.0001,True,2000,4,mvol,5,rxn2,0.32904153332982866,0.001
"(1, 23)",True,32.88645555410617,54.91316624022427,10.5240681198904,39,0.0001,True,2000,4,mvol,5,rxn2,0.32906449850549124,0.001
"(1, 24)",True,32.88626272033019,55.247283851716375,10.27676739007159,40,0.0001,True,2000,4,mvol,5,rxn2,0.32906123191980235,0.001
"(1, 25)",True,32.886381658320516,55.09231822888847,10.405086834874691,38,0.0001,True,2000,4,mvol,5,rxn2,0.32906266076230456,0.001
"(1, 26)",True,32.88612328733688,55.43557778821815,10.356709683452612,40,0.0001,True,2000,4,mvol,5,rxn2,0.32905891606145266,0.001
"(1, 27)",True,32.8877452470239,55.54901323494418,10.238570185907047,41,0.0001,True,2000,4,mvol,5,rxn2,0.3290747146059773,0.001
"(1, 28)",True,32.88764565390056,55.521460354531804,10.261189774402977,41,0.0001,True,2000,4,mvol,5,rxn2,0.3290735962990859,0.001
