points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,33.52524369905686,40.24561122494054,9.150775036628414,66,0.0001,True,2000,4,mvol,5,rxn1,0.3520107709658794,0.1
"(1, 3)",True,33.516623285956726,39.34796275743867,6.727722320034414,67,0.0001,True,2000,4,mvol,5,rxn1,0.35225595797595394,0.1
"(1, 4)",True,33.51549934115484,38.53383484795278,4.887577540333612,70,0.0001,True,2000,4,mvol,5,rxn1,0.3524837654391997,0.1
"(1, 5)",True,33.49652901955121,38.082212024277844,4.228868463965167,67,0.0001,True,2000,4,mvol,5,rxn1,0.3524544334567529,0.1
"(1, 6)",True,33.49984021860982,38.11962538514927,4.2104427898389565,65,0.0001,True,2000,4,mvol,5,rxn1,0.35248360900936904,0.1
"(1, 7)",True,33.49607168294542,38.33891753295295,5.303456067931295,65,0.0001,True,2000,4,mvol,5,rxn1,0.3523050689712964,0.1
"(1, 8)",True,33.50438282270217,38.394916395454345,5.574771855584634,61,0.0001,True,2000,4,mvol,5,rxn1,0.3523460978710267,0.1
"(1, 9)",True,33.50409112750265,38.68260725626344,6.209251773176257,54,0.0001,True,2000,4,mvol,5,rxn1,0.3522438943401433,0.1
"(1, 10)",True,33.50295696412691,38.859327258664216,6.547261506891496,51,0.0001,True,2000,4,mvol,5,rxn1,0.35216947215917194,0.1
"(1, 11)",True,33.511083257281946,39.07787998280486,7.017112029063089,48,0.0001,True,2000,4,mvol,5,rxn1,0.35217095533443016,0.1
"(1, 12)",True,33.516585363528456,39.31898362656744,7.399154588143768,46,0.0001,True,2000,4,mvol,5,rxn1,0.35215022424089026,0.1
"(1, 13)",True,33.51183876502207,39.61445105220432,8.108866137928592,46,0.0001,True,2000,4,mvol,5,rxn1,0.3520163625485795,0.1
"(1, 14)",True,33.514059052482445,39.65945249114228,8.195668891402525,44,0.0001,True,2000,4,mvol,5,rxn1,0.35202287330354204,0.1
"(1, 15)",True,33.512353802374314,39.836532499498865,8.556170690027363,44,0.0001,True,2000,4,mvol,5,rxn1,0.3519597553405582,0.1
"(1, 16)",True,33.51595534065138,39.93418442513982,8.751696688017093,43,0.0001,True,2000,4,mvol,5,rxn1,0.35196573283767196,0.1
"(1, 17)",True,33.514101675261486,40.06060086397585,9.031056762556178,43,0.0001,True,2000,4,mvol,5,rxn1,0.3519158236362118,0.1
"(1, 18)",True,33.51652128607382,40.25200070425673,9.47970232046094,44,0.0001,True,2000,4,mvol,5,rxn1,0.35188930817402014,0.1
"(1, 19)",True,33.51811686330136,40.36438850531052,9.736851440721939,44,0.0001,True,2000,4,mvol,5,rxn1,0.35187619951348825,0.1
"(1, 20)",True,33.513187763155926,40.543455484971844,10.188905871177072,47,0.0001,True,2000,4,mvol,5,rxn1,0.3517849922957912,0.1
"(1, 21)",True,33.510951134343706,40.58415930827113,10.273509354073392,46,0.0001,True,2000,4,mvol,5,rxn1,0.35175512871144005,0.1
"(1, 22)",True,33.511789711215265,40.552365295965,10.185903531498882,44,0.0001,True,2000,4,mvol,5,rxn1,0.3517697230744605,0.1
"(1, 23)",True,33.512803673443464,40.536227832332514,10.14478046315816,42,0.0001,True,2000,4,mvol,5,rxn1,0.35178285887621236,0.1
"(1, 24)",True,33.51177591007849,40.53113218677955,10.115529205539191,41,0.0001,True,2000,4,mvol,5,rxn1,0.35177341297687864,0.1
"(1, 25)",True,33.51176669916327,40.528033131594356,10.09533045505526,41,0.0001,True,2000,4,mvol,5,rxn1,0.3517734211465327,0.1
"(1, 26)",True,33.51338664716516,40.50903208813297,10.020929991387478,40,0.0001,True,2000,4,mvol,5,rxn1,0.3517926118581348,0.1
"(1, 27)",True,33.51656906557413,40.50028597166484,9.963512847399072,39,0.0001,True,2000,4,mvol,5,rxn1,0.35182430477553667,0.1
"(1, 28)",True,33.51743324699169,40.56360333751415,10.105362024629233,39,0.0001,True,2000,4,mvol,5,rxn1,0.35181881219423433,0.1
"(1, 29)",True,33.51568142216676,40.6094045547924,10.234981642227991,40,0.0001,True,2000,4,mvol,5,rxn1,0.3517925326215551,0.1
"(1, 30)",True,33.513041446605804,40.63306204008722,10.32568427410149,41,0.0001,True,2000,4,mvol,5,rxn1,0.351762104949396,0.1
"(1, 31)",True,33.513004867984485,40.63518934698172,10.36318600846351,42,0.0001,True,2000,4,mvol,5,rxn1,0.35176063311425626,0.1
"(1, 32)",True,33.513731587608405,40.65508860295133,10.410849231438702,42,0.0001,True,2000,4,mvol,5,rxn1,0.35176292966447004,0.1
"(1, 33)",True,33.51455295543769,40.6623089799866,10.416622742547123,41,0.0001,True,2000,4,mvol,5,rxn1,0.35176906577847183,0.1
"(1, 34)",True,33.51333044830881,40.69048387229173,10.537596137127492,41,0.0001,True,2000,4,mvol,5,rxn1,0.3517539876937207,0.1
"(1, 35)",True,33.51315430417194,40.68555172024409,10.523270643729138,41,0.0001,True,2000,4,mvol,5,rxn1,0.35175298073390093,0.1
