points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,17.876285982822548,56.350961090894536,27.372252532823886,79,0.0001,True,2000,4,mvol,2,rxn2,0.18492472370269566,0.1
"(1, 3)",True,17.917238984053142,56.372770883706984,25.54438644362782,82,0.0001,True,2000,4,mvol,2,rxn2,0.1852000161681616,0.1
"(1, 4)",True,17.980404550434436,56.23227336386328,23.981219105798978,85,0.0001,True,2000,4,mvol,2,rxn2,0.18555122609165148,0.1
"(1, 5)",True,18.035431643221365,56.16695564792288,22.162137694855254,80,0.0001,True,2000,4,mvol,2,rxn2,0.18590109214325531,0.1
"(1, 6)",True,18.257134410027167,56.58044060446992,6.537308949745558,85,0.0001,True,2000,4,mvol,2,rxn2,0.18719556111064814,0.1
"(1, 7)",True,18.241529042952095,56.42664543290163,8.26148741485656,88,0.0001,True,2000,4,mvol,2,rxn2,0.18712878554655343,0.1
"(1, 8)",True,18.22382368870396,56.250522014924,9.109085533225933,94,0.0001,True,2000,4,mvol,2,rxn2,0.18705271776338014,0.1
"(1, 9)",True,18.19225079883361,55.96314475598665,10.528945603387186,93,0.0001,True,2000,4,mvol,2,rxn2,0.18693026137844798,0.1
"(1, 10)",True,18.15883311018783,55.626222282693,11.649361153081587,106,0.0001,True,2000,4,mvol,2,rxn2,0.18678100246624504,0.1
"(1, 11)",True,18.120695887953158,55.30245254631123,12.939175533849356,103,0.0001,True,2000,4,mvol,2,rxn2,0.1866261296303444,0.1
"(1, 12)",True,18.08684493563135,55.07713187656495,14.073812056294642,91,0.0001,True,2000,4,mvol,2,rxn2,0.18650284416017548,0.1
"(1, 13)",True,18.047336837102705,54.83958383318277,15.401879270792113,75,0.0001,True,2000,4,mvol,2,rxn2,0.1863229874763341,0.1
"(1, 14)",True,18.022246759987564,54.78693201623965,16.435248524632076,73,0.0001,True,2000,4,mvol,2,rxn2,0.18618976203035173,0.1
"(1, 15)",True,17.996440184566282,54.73952675375534,17.478455549902286,71,0.0001,True,2000,4,mvol,2,rxn2,0.1860399068543906,0.1
"(1, 16)",True,17.975885661493262,54.74127873174646,18.43945629663339,73,0.0001,True,2000,4,mvol,2,rxn2,0.18589937878366797,0.1
"(1, 17)",True,17.957266382929873,54.78121584926285,19.332234415014423,73,0.0001,True,2000,4,mvol,2,rxn2,0.18577026388024026,0.1
"(1, 18)",True,17.94107473663338,54.8352658715906,20.117005438882032,73,0.0001,True,2000,4,mvol,2,rxn2,0.18564706398199166,0.1
