points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,33.441571775331255,36.686902287695794,11.492532801504149,43,0.0001,True,2000,4,mvol,5,rxn1,0.3344159156805318,1e-06
"(1, 3)",True,33.444545846518665,37.06876699496888,10.368912287957784,46,0.0001,True,2000,4,mvol,5,rxn1,0.3344456564321718,1e-06
"(1, 4)",True,33.44232580870275,37.35158011739638,10.439043875010567,44,0.0001,True,2000,4,mvol,5,rxn1,0.33442345812496505,1e-06
"(1, 5)",True,33.44124676362499,36.91995556416239,10.589323899015477,43,0.0001,True,2000,4,mvol,5,rxn1,0.334412666001553,1e-06
"(1, 6)",True,33.44150868124653,37.42647250519299,9.936624486347513,46,0.0001,True,2000,4,mvol,5,rxn1,0.3344152865476886,1e-06
"(1, 7)",True,33.44003522083832,36.92178349251118,10.243569464694021,42,0.0001,True,2000,4,mvol,5,rxn1,0.33440054998177343,1e-06
"(1, 8)",True,33.438854785486036,37.40656059631042,9.26943123408218,45,0.0001,True,2000,4,mvol,5,rxn1,0.33438874669420804,1e-06
"(1, 9)",True,33.43938354487727,37.45189712530945,8.893500210133011,43,0.0001,True,2000,4,mvol,5,rxn1,0.33439403366085035,1e-06
"(1, 10)",True,33.439935685369555,37.4377377387496,8.634010931537164,40,0.0001,True,2000,4,mvol,5,rxn1,0.33439955448255615,1e-06
"(1, 11)",True,33.43871943038325,37.70734499502233,7.925149442320916,41,0.0001,True,2000,4,mvol,5,rxn1,0.3343873925753981,1e-06
"(1, 12)",True,33.44024113412455,38.02044626516664,7.037573259075855,44,0.0001,True,2000,4,mvol,5,rxn1,0.33440261002765004,1e-06
"(1, 13)",True,33.43616877729528,37.455755300154166,7.696590777876108,41,0.0001,True,2000,4,mvol,5,rxn1,0.33436188575537834,1e-06
"(1, 14)",True,33.43793285313829,37.659507047478705,6.822259177635394,45,0.0001,True,2000,4,mvol,5,rxn1,0.33437952651961006,1e-06
"(1, 15)",True,33.43644030142511,37.55768965031237,6.634061278052567,44,0.0001,True,2000,4,mvol,5,rxn1,0.33436460029418036,1e-06
"(1, 16)",True,33.43802038264695,37.70441388632019,5.755788315129244,48,0.0001,True,2000,4,mvol,5,rxn1,0.33438040094173865,1e-06
