points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,7.348330980549235e-05,0.0012992378655120158,0.0003657205128659236,868,0.0001,True,2000,4,mvol,0,rxn2,2.277518005159788e-05,1e-06
"(1, 3)",True,6.37603959313699e-05,0.0003191124883861226,0.0003821859607732754,754,0.0001,True,2000,4,mvol,0,rxn2,2.277230909482499e-05,1e-06
"(1, 4)",True,6.456772608387416e-05,0.0004635561386089267,0.0003821081242391481,707,0.0001,True,2000,4,mvol,0,rxn2,2.27725709793363e-05,1e-06
"(1, 5)",True,6.570234721744223e-05,0.0006070329322256821,0.0003826617903736567,671,0.0001,True,2000,4,mvol,0,rxn2,2.277290141184494e-05,1e-06
"(1, 6)",True,6.803667608231871e-05,0.0007998594498839452,0.00038263356737287823,471,0.0001,True,2000,4,mvol,0,rxn2,2.2773544291150125e-05,1e-06
"(1, 7)",True,6.944337162025648e-05,0.0009493339693331611,0.00039144876975249717,588,0.0001,True,2000,4,mvol,0,rxn2,2.2773981724983167e-05,1e-06
"(1, 8)",True,7.263245159836881e-05,0.0011557309963518112,0.0003997701926936227,653,0.0001,True,2000,4,mvol,0,rxn2,2.2774979088501062e-05,1e-06
"(1, 9)",True,7.54862499230381e-05,0.0013782850743819064,0.00040419837926264964,698,0.0001,True,2000,4,mvol,0,rxn2,2.277590656789862e-05,1e-06
"(1, 10)",True,7.638671417008332e-05,0.0016118167212283362,0.00039217654395224907,743,0.0001,True,2000,4,mvol,0,rxn2,2.2776203562878536e-05,1e-06
"(1, 11)",True,8.056726049111992e-05,0.0019183858711675004,0.0003970910257634782,784,0.0001,True,2000,4,mvol,0,rxn2,2.2777637771471992e-05,1e-06
"(1, 12)",True,8.476163025107593e-05,0.002255867377224317,0.00039891377122889377,835,0.0001,True,2000,4,mvol,0,rxn2,2.277915123244109e-05,1e-06
"(1, 13)",True,8.598326385379877e-05,0.002529463086213627,0.0003843249684232799,894,0.0001,True,2000,4,mvol,0,rxn2,2.2779596206520456e-05,1e-06
"(1, 14)",True,9.225320829369383e-05,0.002968587056068511,0.0003889403791935577,957,0.0001,True,2000,4,mvol,0,rxn2,2.278202974526409e-05,1e-06
"(1, 15)",True,8.98254656612467e-05,0.0030939069226360205,0.0003641850123259964,1035,0.0001,True,2000,4,mvol,0,rxn2,2.27810427603234e-05,1e-06
"(1, 16)",True,9.205834387790737e-05,0.003354728001721943,0.0003616714743532693,1112,0.0001,True,2000,4,mvol,0,rxn2,2.2781913102122475e-05,1e-06
"(1, 17)",True,9.341385881173807e-05,0.00356434176642659,0.0003588178834681644,1190,0.0001,True,2000,4,mvol,0,rxn2,2.2782443216754256e-05,1e-06
"(1, 18)",True,9.970837204545022e-05,0.003952779816311702,0.00037556494001479034,1264,0.0001,True,2000,4,mvol,0,rxn2,2.278508160237998e-05,1e-06
"(1, 19)",True,0.00010126179100925945,0.004139033809443278,0.0003780550423065793,1340,0.0001,True,2000,4,mvol,0,rxn2,2.2785743293132335e-05,1e-06
"(1, 20)",True,0.0001051960033032121,0.0044147665469758445,0.00038902391614923927,1410,0.0001,True,2000,4,mvol,0,rxn2,2.278749906386059e-05,1e-06
"(1, 21)",True,0.00010721850069233016,0.004593024473789164,0.00039600169819996203,1470,0.0001,True,2000,4,mvol,0,rxn2,2.278841918541249e-05,1e-06
"(1, 22)",True,0.00010566114125493969,0.0046057917964904115,0.0003906990397840429,1541,0.0001,True,2000,4,mvol,0,rxn2,2.2787679857442106e-05,1e-06
"(1, 23)",True,0.00010826343379375056,0.004787187770287398,0.0004036563866012138,1591,0.0001,True,2000,4,mvol,0,rxn2,2.2788886794792454e-05,1e-06
"(1, 24)",True,0.00010975871589189832,0.004910836397299368,0.0004109194059882671,1611,0.0001,True,2000,4,mvol,0,rxn2,2.2789590138297152e-05,1e-06
"(1, 25)",True,0.00010782874182229706,0.00486997368662133,0.00040712867125255054,1644,0.0001,True,2000,4,mvol,0,rxn2,2.2788667858407814e-05,1e-06
"(1, 26)",True,0.00010964538729596578,0.004990016084967549,0.00041741444629697514,1684,0.0001,True,2000,4,mvol,0,rxn2,2.2789525839997415e-05,1e-06
"(1, 27)",True,0.000107649240819654,0.004928697316692868,0.00041335101335916486,1727,0.0001,True,2000,4,mvol,0,rxn2,2.2788575221150998e-05,1e-06
"(1, 28)",True,0.00011327663923710698,0.005213950954479973,0.00043872140144223236,1752,0.0001,True,2000,4,mvol,0,rxn2,2.2791286754404312e-05,1e-06
"(1, 29)",True,0.00011105368270450912,0.005133954075167593,0.00043213256282124144,1788,0.0001,True,2000,4,mvol,0,rxn2,2.2790195413063488e-05,1e-06
"(1, 30)",True,0.0001100352499707761,0.005102713034324972,0.0004304037092458039,1817,0.0001,True,2000,4,mvol,0,rxn2,2.2789702117558437e-05,1e-06
"(1, 31)",True,0.00012035981406986716,0.005597771134496602,0.00047339529130931325,1821,0.0001,True,2000,4,mvol,0,rxn2,2.2794894026390532e-05,1e-06
"(1, 32)",True,0.00011067364879176302,0.005156044351309902,0.00043820729586391017,1855,0.0001,True,2000,4,mvol,0,rxn2,2.2790007349081332e-05,1e-06
"(1, 33)",True,0.00011747315106289039,0.005483724834893606,0.00046661182439187515,1863,0.0001,True,2000,4,mvol,0,rxn2,2.27933930198206e-05,1e-06
"(1, 34)",True,0.00011586884163054948,0.00541551772669167,0.00046166692913122525,1880,0.0001,True,2000,4,mvol,0,rxn2,2.2792575049635484e-05,1e-06
"(1, 35)",True,0.00011213679661158129,0.005245711382074428,0.00044982984092685366,1898,0.0001,True,2000,4,mvol,0,rxn2,2.2790717155133537e-05,1e-06
"(1, 36)",True,0.00011648713024429698,0.005455761331467057,0.00046869121088176304,1899,0.0001,True,2000,4,mvol,0,rxn2,2.2792887990825604e-05,1e-06
"(1, 37)",True,0.00010882974554824997,0.005100964542097262,0.0004389883344014739,1925,0.0001,True,2000,4,mvol,0,rxn2,2.2789121294656724e-05,1e-06
"(1, 38)",True,0.00011489309924752984,0.005386869875447875,0.00046439809327072955,1919,0.0001,True,2000,4,mvol,0,rxn2,2.2792082333249215e-05,1e-06
"(1, 39)",True,0.00011394537420003282,0.00534750989323235,0.0004612053319380453,1930,0.0001,True,2000,4,mvol,0,rxn2,2.27916085953903e-05,1e-06
"(1, 40)",True,0.00011313020810071992,0.005308417361922292,0.0004600187779603391,1934,0.0001,True,2000,4,mvol,0,rxn2,2.279120470562974e-05,1e-06
"(1, 41)",True,0.0001129530172039813,0.005301770873314121,0.0004600172007273102,1939,0.0001,True,2000,4,mvol,0,rxn2,2.279111718170699e-05,1e-06
"(1, 42)",True,0.00011940920352232177,0.005607200077883536,0.00048625762637671073,1934,0.0001,True,2000,4,mvol,0,rxn2,2.279439210700224e-05,1e-06
"(1, 43)",True,0.00011866069461557081,0.005571840103951636,0.0004845419997838439,1936,0.0001,True,2000,4,mvol,0,rxn2,2.279400317864144e-05,1e-06
"(1, 44)",True,0.00011252416545193105,0.005283111273860311,0.0004599710056501313,1948,0.0001,True,2000,4,mvol,0,rxn2,2.279090607082754e-05,1e-06
"(1, 45)",True,0.00012174061653097953,0.005718974926042363,0.0004977367351385285,1939,0.0001,True,2000,4,mvol,0,rxn2,2.279561965273806e-05,1e-06
"(1, 46)",True,0.0001161308270128913,0.005455632525850262,0.0004755826480567353,1950,0.0001,True,2000,4,mvol,0,rxn2,2.2792706302721948e-05,1e-06
"(1, 47)",True,0.0001130691391580239,0.00531205079962191,0.0004631900387790525,1957,0.0001,True,2000,4,mvol,0,rxn2,2.27911743280196e-05,1e-06
"(1, 48)",True,0.00011671222635807768,0.005482111594123675,0.0004788513507005109,1951,0.0001,True,2000,4,mvol,0,rxn2,2.2793001964968532e-05,1e-06
"(1, 49)",True,0.00011146960393116345,0.0052374367282839295,0.0004579820632444316,1963,0.0001,True,2000,4,mvol,0,rxn2,2.2790390364618536e-05,1e-06
"(1, 50)",True,0.000116593808890129,0.005477027670912535,0.00047885412033430423,1956,0.0001,True,2000,4,mvol,0,rxn2,2.279294160093119e-05,1e-06
"(1, 51)",True,0.00011309357069226712,0.005314462036497237,0.00046475139950611044,1964,0.0001,True,2000,4,mvol,0,rxn2,2.279118634728861e-05,1e-06
"(1, 52)",True,0.00011573762655186511,0.005439275218341016,0.0004760339300479051,1959,0.0001,True,2000,4,mvol,0,rxn2,2.2792507218741452e-05,1e-06
"(1, 53)",True,0.0001147667868734415,0.005392467356839981,0.00047277573890742183,1958,0.0001,True,2000,4,mvol,0,rxn2,2.279201874531866e-05,1e-06
"(1, 54)",True,0.00011649898825117295,0.0054729141522978355,0.00047996045083016013,1956,0.0001,True,2000,4,mvol,0,rxn2,2.279289338032874e-05,1e-06
"(1, 55)",True,0.0001150372864189878,0.00540268358400209,0.00047503906067855654,1957,0.0001,True,2000,4,mvol,0,rxn2,2.2792154666918912e-05,1e-06
"(1, 56)",True,0.00011218606044552792,0.0052701458470388075,0.0004626328118163515,1965,0.0001,True,2000,4,mvol,0,rxn2,2.279074018718252e-05,1e-06
"(1, 57)",True,0.00011770222965198911,0.005528611277383955,0.0004863868096946515,1957,0.0001,True,2000,4,mvol,0,rxn2,2.279350874881044e-05,1e-06
"(1, 58)",True,0.00011337415492436834,0.005325119011613461,0.0004683972998049316,1964,0.0001,True,2000,4,mvol,0,rxn2,2.2791325330732242e-05,1e-06
"(1, 59)",True,0.00011497122307852106,0.005402031202110064,0.000474287181273474,1963,0.0001,True,2000,4,mvol,0,rxn2,2.2792121264196463e-05,1e-06
"(1, 60)",True,0.0001120936729964016,0.005264956391117651,0.00046281860843297456,1970,0.0001,True,2000,4,mvol,0,rxn2,2.2790695022127758e-05,1e-06
"(1, 61)",True,0.00011708445856647916,0.005497417733607444,0.00048446440807062773,1959,0.0001,True,2000,4,mvol,0,rxn2,2.2793192179440303e-05,1e-06
"(1, 62)",True,0.00011331321745427165,0.005321461064300193,0.0004688552057557257,1966,0.0001,True,2000,4,mvol,0,rxn2,2.279129520194603e-05,1e-06
"(1, 63)",True,0.00012045159546844527,0.005657642326980738,0.0004982616591554262,1953,0.0001,True,2000,4,mvol,0,rxn2,2.2794938236416597e-05,1e-06
"(1, 64)",True,0.00011407865077450675,0.005358321781370961,0.00047138933610944763,1966,0.0001,True,2000,4,mvol,0,rxn2,2.2791675081258204e-05,1e-06
"(1, 65)",True,0.00011780780799253375,0.005533525112811027,0.0004875609016389752,1959,0.0001,True,2000,4,mvol,0,rxn2,2.279356302156908e-05,1e-06
"(1, 66)",True,0.00011535506130211637,0.005416235622921142,0.00047800135561438015,1959,0.0001,True,2000,4,mvol,0,rxn2,2.279231459478858e-05,1e-06
