points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,18.13016959398828,14.89828123184656,5.242135005273709,72,0.0001,True,2000,4,mvol,2,rxn1,0.1813018088928336,1e-06
"(1, 3)",True,18.130961358808616,15.051191688213772,4.779399728604274,70,0.0001,True,2000,4,mvol,2,rxn1,0.18130972653692598,1e-06
"(1, 4)",True,18.13011212192516,15.148058457786378,4.745492091969568,68,0.0001,True,2000,4,mvol,2,rxn1,0.18130123471565848,1e-06
"(1, 5)",True,18.129476070641704,14.982712564582977,4.810531586438389,67,0.0001,True,2000,4,mvol,2,rxn1,0.18129487376791248,1e-06
"(1, 6)",True,18.129659443893207,15.19388828803956,4.506845163836871,69,0.0001,True,2000,4,mvol,2,rxn1,0.18129670788692692,1e-06
"(1, 7)",True,18.12911801447247,15.001163972388612,4.736529494968224,66,0.0001,True,2000,4,mvol,2,rxn1,0.18129129324542462,1e-06
"(1, 8)",True,18.129184505652,15.12420196474776,4.571866796144438,65,0.0001,True,2000,4,mvol,2,rxn1,0.18129195843019066,1e-06
"(1, 9)",True,18.12873014874867,15.20552749296183,4.306745993436034,65,0.0001,True,2000,4,mvol,2,rxn1,0.18128741481338104,1e-06
"(1, 10)",True,18.128603341489857,15.250284817786328,4.032018393124802,65,0.0001,True,2000,4,mvol,2,rxn1,0.18128614651694272,1e-06
"(1, 11)",True,18.128451287968804,15.32343252012199,3.752287369351051,66,0.0001,True,2000,4,mvol,2,rxn1,0.18128462598884626,1e-06
"(1, 12)",True,18.129312408865147,15.485662164088025,3.381634792401842,67,0.0001,True,2000,4,mvol,2,rxn1,0.18129323737201883,1e-06
"(1, 13)",True,18.127148227876834,15.181234696484688,3.5684399940787066,65,0.0001,True,2000,4,mvol,2,rxn1,0.1812715951937827,1e-06
"(1, 14)",True,18.127477581452208,15.280569808280244,3.051397810574726,69,0.0001,True,2000,4,mvol,2,rxn1,0.1812748887109661,1e-06
"(1, 15)",True,18.12708074841759,15.19588713515263,2.948682233787051,68,0.0001,True,2000,4,mvol,2,rxn1,0.18127091997756684,1e-06
"(1, 16)",True,18.12760143958331,15.24539793136904,2.521006447568897,72,0.0001,True,2000,4,mvol,2,rxn1,0.18127612687737862,1e-06
"(1, 17)",True,18.127439669721245,15.200744484050787,2.4199690150042383,73,0.0001,True,2000,4,mvol,2,rxn1,0.1812745087577768,1e-06
"(1, 18)",True,18.127218043964966,15.179916341161839,2.351174282192707,73,0.0001,True,2000,4,mvol,2,rxn1,0.18127229220358151,1e-06
"(1, 19)",True,18.128240855851267,15.185360908567098,2.050122389330329,81,0.0001,True,2000,4,mvol,2,rxn1,0.18128252024305117,1e-06
"(1, 20)",True,18.127232425361107,15.060306508763553,2.895815373550049,77,0.0001,True,2000,4,mvol,2,rxn1,0.18127243548336433,1e-06
"(1, 21)",True,18.126778043088233,15.084394085717234,3.3740946125785447,71,0.0001,True,2000,4,mvol,2,rxn1,0.1812678913068797,1e-06
"(1, 22)",True,18.126835000710155,15.104490788223467,2.955191822835554,73,0.0001,True,2000,4,mvol,2,rxn1,0.1812684608627767,1e-06
"(1, 23)",True,18.127970442998123,15.113615654236177,2.695772132214183,75,0.0001,True,2000,4,mvol,2,rxn1,0.18127981523513864,1e-06
