points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,33.441100215333854,36.63749680408456,10.912662507197263,45,0.0001,True,2000,4,mvol,5,rxn1,0.3363633798757207,0.01
"(1, 3)",True,33.44277321785425,37.01735372321564,9.415997957088841,52,0.0001,True,2000,4,mvol,5,rxn1,0.33637973230160456,0.01
"(1, 4)",True,33.44069582740253,37.19277807186553,9.503238975218448,51,0.0001,True,2000,4,mvol,5,rxn1,0.33638231111871075,0.01
"(1, 5)",True,33.43948758693522,36.85217364240404,9.701309699002787,49,0.0001,True,2000,4,mvol,5,rxn1,0.33635606838779436,0.01
"(1, 6)",True,33.439881935508694,37.245679741900126,8.975661528812886,52,0.0001,True,2000,4,mvol,5,rxn1,0.3363707725344055,0.01
"(1, 7)",True,33.43899627086295,36.79618126932869,9.498991141609526,47,0.0001,True,2000,4,mvol,5,rxn1,0.3363419760567269,0.01
"(1, 8)",True,33.43819783537,37.17118959731504,8.512244170231398,49,0.0001,True,2000,4,mvol,5,rxn1,0.3363436861731653,0.01
"(1, 9)",True,33.438312726390116,37.258179604199256,7.933944807147729,49,0.0001,True,2000,4,mvol,5,rxn1,0.33633650378545704,0.01
"(1, 10)",True,33.440096573007594,37.22675521995323,8.037041409440604,41,0.0001,True,2000,4,mvol,5,rxn1,0.3363482465342137,0.01
"(1, 11)",True,33.438364778708674,37.45224054500463,7.094559977615305,43,0.0001,True,2000,4,mvol,5,rxn1,0.33633595078494494,0.01
"(1, 12)",True,33.441126647006556,37.583149531367546,6.410203837456582,45,0.0001,True,2000,4,mvol,5,rxn1,0.33636431544418643,0.01
"(1, 13)",True,33.43617278160639,37.190302172135446,6.907264631148069,44,0.0001,True,2000,4,mvol,5,rxn1,0.3363075156387475,0.01
"(1, 14)",True,33.43888548151706,37.27232926044497,6.182059986622458,46,0.0001,True,2000,4,mvol,5,rxn1,0.33633130286925605,0.01
"(1, 15)",True,33.43708227511194,37.23937333799559,6.003778905162815,45,0.0001,True,2000,4,mvol,5,rxn1,0.3363064954581492,0.01
"(1, 16)",True,33.43962991387812,37.29780021606103,5.275798786818077,48,0.0001,True,2000,4,mvol,5,rxn1,0.33632663190833956,0.01
"(1, 17)",True,33.43850640250599,37.37043708284845,4.6062691626518415,50,0.0001,True,2000,4,mvol,5,rxn1,0.3363021784905074,0.01
"(1, 18)",True,33.43797641785792,37.39738837711954,4.374515037528136,54,0.0001,True,2000,4,mvol,5,rxn1,0.3362864835306164,0.01
"(1, 19)",True,33.44061593696514,37.384894891351166,4.5441349866084755,52,0.0001,True,2000,4,mvol,5,rxn1,0.3363032807058687,0.01
"(1, 20)",True,33.43799332820216,37.04679222893609,7.309132968406398,38,0.0001,True,2000,4,mvol,5,rxn1,0.3362777967128316,0.01
"(1, 21)",True,33.435514781511785,37.0834987843826,7.339620081311294,39,0.0001,True,2000,4,mvol,5,rxn1,0.33624961093862027,0.01
"(1, 22)",True,33.43734947977654,37.12445376002162,6.7407800420765955,39,0.0001,True,2000,4,mvol,5,rxn1,0.3362659873687366,0.01
"(1, 23)",True,33.43849636255891,37.138530870614574,6.305190736601103,39,0.0001,True,2000,4,mvol,5,rxn1,0.33627587553884764,0.01
"(1, 24)",True,33.43775425794185,37.2147270194272,5.884336075296443,40,0.0001,True,2000,4,mvol,5,rxn1,0.3362647944146243,0.01
"(1, 25)",True,33.437517631163416,37.2446895290432,5.671923842071616,42,0.0001,True,2000,4,mvol,5,rxn1,0.3362598734627859,0.01
"(1, 26)",True,33.43933596177722,37.31031207544145,5.086601041689402,45,0.0001,True,2000,4,mvol,5,rxn1,0.3362748130591472,0.01
"(1, 27)",True,33.44105808180032,37.41418086295962,4.3258230411005245,49,0.0001,True,2000,4,mvol,5,rxn1,0.3362880518286211,0.01
"(1, 28)",True,33.442985930110694,37.4054309962544,4.956220199184022,44,0.0001,True,2000,4,mvol,5,rxn1,0.33630461823683067,0.01
"(1, 29)",True,33.44180651354387,37.44100560041187,5.398630618486035,41,0.0001,True,2000,4,mvol,5,rxn1,0.3362902742022599,0.01
"(1, 30)",True,33.43912895486669,37.33032933358714,5.965474836265785,39,0.0001,True,2000,4,mvol,5,rxn1,0.3362664656515855,0.01
"(1, 31)",True,33.438859946581594,37.30069857542178,6.199091726100701,38,0.0001,True,2000,4,mvol,5,rxn1,0.33626393649814906,0.01
"(1, 32)",True,33.439053099279924,37.307109237499404,6.26294255688636,37,0.0001,True,2000,4,mvol,5,rxn1,0.336266210881678,0.01
"(1, 33)",True,33.43988149993912,37.39421686743817,5.889472991992422,37,0.0001,True,2000,4,mvol,5,rxn1,0.3362713095341347,0.01
"(1, 34)",True,33.43687856761389,37.351384623432445,6.460366382758512,36,0.0001,True,2000,4,mvol,5,rxn1,0.336242295934488,0.01
"(1, 35)",True,33.437012469324635,37.35209754882352,6.427363947777826,36,0.0001,True,2000,4,mvol,5,rxn1,0.3362431931412188,0.01
"(1, 36)",True,33.43798457504977,37.35333130136862,6.355007462289231,35,0.0001,True,2000,4,mvol,5,rxn1,0.33625145352449476,0.01
"(1, 37)",True,33.438548685083745,37.417039026684876,6.082330049774774,35,0.0001,True,2000,4,mvol,5,rxn1,0.33625459434206856,0.01
"(1, 38)",True,33.43934637104461,37.43364187517735,5.874609505206691,36,0.0001,True,2000,4,mvol,5,rxn1,0.3362602038706026,0.01
"(1, 39)",True,33.43901616447928,37.43425710865097,6.027263798417332,35,0.0001,True,2000,4,mvol,5,rxn1,0.33625740589657527,0.01
"(1, 40)",True,33.43716562485781,37.38582221579231,6.302397340401267,35,0.0001,True,2000,4,mvol,5,rxn1,0.33624108000958564,0.01
"(1, 41)",True,33.43747684114257,37.42892102659412,6.193614708701283,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624308157047345,0.01
"(1, 42)",True,33.43654813036869,37.394213410120855,6.397437934476875,34,0.0001,True,2000,4,mvol,5,rxn1,0.336235330478549,0.01
"(1, 43)",True,33.436777361505605,37.41540383217345,6.249117959080757,34,0.0001,True,2000,4,mvol,5,rxn1,0.3362363810961732,0.01
"(1, 44)",True,33.436725077214376,37.38660088528818,6.325185200847461,34,0.0001,True,2000,4,mvol,5,rxn1,0.3362364675975553,0.01
"(1, 45)",True,33.43749874578493,37.436647076292935,6.045195421043078,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624233071484266,0.01
"(1, 46)",True,33.43756045752538,37.42370115297716,6.003132475836499,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624356838576214,0.01
"(1, 47)",True,33.43732066927027,37.41463378380611,6.0890228628079175,34,0.0001,True,2000,4,mvol,5,rxn1,0.3362420986429459,0.01
"(1, 48)",True,33.43799853880813,37.415242710763515,5.941477845140996,34,0.0001,True,2000,4,mvol,5,rxn1,0.3362470443093178,0.01
"(1, 49)",True,33.437723251570574,37.43104344405233,5.9017666939099485,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624418551817575,0.01
"(1, 50)",True,33.43789771984717,37.47156620416531,5.762844804991969,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624480625412606,0.01
"(1, 51)",True,33.43752892175032,37.39150505498915,6.15900434214539,33,0.0001,True,2000,4,mvol,5,rxn1,0.33624386237891357,0.01
"(1, 52)",True,33.437584698962155,37.44518578378777,5.985485170871531,33,0.0001,True,2000,4,mvol,5,rxn1,0.3362428775093461,0.01
"(1, 53)",True,33.4375238197375,37.46115555590721,5.803529419759273,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624135874687683,0.01
"(1, 54)",True,33.43740802741352,37.48416786683259,5.758082014075217,34,0.0001,True,2000,4,mvol,5,rxn1,0.33623954945636575,0.01
"(1, 55)",True,33.43768467827225,37.440022337501034,5.897841885233135,34,0.0001,True,2000,4,mvol,5,rxn1,0.3362434723305755,0.01
"(1, 56)",True,33.43777256926206,37.438386259335466,5.854397541792297,34,0.0001,True,2000,4,mvol,5,rxn1,0.33624412065695847,0.01
"(1, 57)",True,33.43747845892455,37.44327898423909,5.903417007052824,34,0.0001,True,2000,4,mvol,5,rxn1,0.3362416557950842,0.01
