points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,5.123098130397129e-06,7.07750352899204e-05,3.0350213201027012e-05,1078,0.0001,True,2000,4,fpgm,0,rxn2,5.123098130397129e-08,
"(1, 3)",True,5.757865224324783e-06,4.980785301689172e-05,3.443136284801187e-05,961,0.0001,True,2000,4,fpgm,0,rxn2,5.7578652243247835e-08,
"(1, 4)",True,3.7166860205861206e-06,2.9250893323213243e-05,2.607781687425579e-05,944,0.0001,True,2000,4,fpgm,0,rxn2,3.7166860205861206e-08,
"(1, 5)",True,4.986457555832249e-06,3.890859187582455e-05,3.096902299517534e-05,905,0.0001,True,2000,4,fpgm,0,rxn2,4.9864575558322486e-08,
"(1, 6)",True,5.2561877773953795e-06,4.921751169734354e-05,3.487494068119075e-05,691,0.0001,True,2000,4,fpgm,0,rxn2,5.25618777739538e-08,
"(1, 7)",True,4.071425545278257e-06,4.335901118722215e-05,2.7480738543893272e-05,818,0.0001,True,2000,4,fpgm,0,rxn2,4.071425545278256e-08,
"(1, 8)",True,4.237674063481803e-06,5.3223813853945135e-05,2.9373207549995858e-05,872,0.0001,True,2000,4,fpgm,0,rxn2,4.2376740634818033e-08,
"(1, 9)",True,5.512736248576077e-06,7.599604595434227e-05,3.268669031294239e-05,917,0.0001,True,2000,4,fpgm,0,rxn2,5.512736248576077e-08,
"(1, 10)",True,5.636633431750433e-06,0.00010404020741691624,3.424314461440717e-05,959,0.0001,True,2000,4,fpgm,0,rxn2,5.636633431750433e-08,
"(1, 11)",True,5.636633431750433e-06,0.00012342257893430033,3.141876485725412e-05,1021,0.0001,True,2000,4,fpgm,0,rxn2,5.636633431750433e-08,
"(1, 12)",True,5.636633431750433e-06,0.00014235587255979434,2.8689874817742287e-05,1096,0.0001,True,2000,4,fpgm,0,rxn2,5.636633431750433e-08,
"(1, 13)",True,6.107138317917385e-06,0.00016311408618983314,2.691026864799567e-05,1176,0.0001,True,2000,4,fpgm,0,rxn2,6.107138317917385e-08,
