points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,0.00019970746947876262,0.002621391859234072,0.0010736017139271535,768,0.0001,True,2000,4,mvol,0,rxn2,7.201146539882127e-05,1e-05
"(1, 3)",True,0.00019809274029919562,0.0007722172027117475,0.0011800260981516834,653,0.0001,True,2000,4,mvol,0,rxn2,7.201139603664544e-05,1e-05
"(1, 4)",True,0.00019831576284069937,0.0009428671104717677,0.0011858749256689817,605,0.0001,True,2000,4,mvol,0,rxn2,7.201166545183078e-05,1e-05
"(1, 5)",True,0.0001986533040609998,0.001235038196434421,0.0011878846177393394,568,0.0001,True,2000,4,mvol,0,rxn2,7.201180399685642e-05,1e-05
"(1, 6)",True,0.0001924511362414707,0.001792092416833898,0.001121851590384814,372,0.0001,True,2000,4,mvol,0,rxn2,7.20098035172161e-05,1e-05
"(1, 7)",True,0.00020420813774284932,0.001954854695459286,0.0012251516809234282,481,0.0001,True,2000,4,mvol,0,rxn2,7.201315555031645e-05,1e-05
"(1, 8)",True,0.0002031433277618737,0.0023497155308922664,0.0012052015310256119,548,0.0001,True,2000,4,mvol,0,rxn2,7.201286920625583e-05,1e-05
"(1, 9)",True,0.00020282007036262373,0.0028521250489203535,0.001177213904879401,595,0.0001,True,2000,4,mvol,0,rxn2,7.201276896258767e-05,1e-05
"(1, 10)",True,0.0002024997077655393,0.00349306288016224,0.0011345299182820463,638,0.0001,True,2000,4,mvol,0,rxn2,7.201264999008671e-05,1e-05
"(1, 11)",True,0.00020671257403962208,0.004364216600097142,0.0010957514727183793,681,0.0001,True,2000,4,mvol,0,rxn2,7.201378930387785e-05,1e-05
"(1, 12)",True,0.00021104101210995678,0.005271014875873784,0.0010472025436323135,733,0.0001,True,2000,4,mvol,0,rxn2,7.201496796150948e-05,1e-05
"(1, 13)",True,0.00021854935501895739,0.006232443515676318,0.0010105272683567305,787,0.0001,True,2000,4,mvol,0,rxn2,7.201709270459817e-05,1e-05
"(1, 14)",True,0.00022814821963722357,0.007200636918509704,0.0009888408666110197,846,0.0001,True,2000,4,mvol,0,rxn2,7.201992168915688e-05,1e-05
