points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,32.900263699749004,54.86214152137422,22.648730484363497,38,0.0001,True,2000,4,mvol,5,rxn2,0.32900468194737775,1e-05
"(1, 3)",True,32.89571466031321,54.16252941585511,17.525931318314186,64,0.0001,True,2000,4,mvol,5,rxn2,0.32895927759079574,1e-05
"(1, 4)",True,32.9206231361249,53.919395346560584,19.0803129506164,55,0.0001,True,2000,4,mvol,5,rxn2,0.32920837862233737,1e-05
"(1, 5)",True,32.90987161673215,53.452885495661555,13.33244842299634,62,0.0001,True,2000,4,mvol,5,rxn2,0.3291010915942129,1e-05
"(1, 6)",True,32.90732084896556,55.35302116107937,10.66342567065101,78,0.0001,True,2000,4,mvol,5,rxn2,0.32907561499831817,1e-05
"(1, 7)",True,32.90140817670115,53.26371633927407,11.895985734330763,68,0.0001,True,2000,4,mvol,5,rxn2,0.32901642399927195,1e-05
"(1, 8)",True,32.90207824483832,54.321971901059634,10.025155799780668,74,0.0001,True,2000,4,mvol,5,rxn2,0.32902314180052544,1e-05
"(1, 9)",True,32.89401531623206,54.510628596516646,8.788278057036726,75,0.0001,True,2000,4,mvol,5,rxn2,0.32894243463780776,1e-05
"(1, 10)",True,32.89360231327244,55.00314709804145,8.194958431384896,71,0.0001,True,2000,4,mvol,5,rxn2,0.32893828808219605,1e-05
"(1, 11)",True,32.89483078237369,55.58962546235814,7.489921716151979,71,0.0001,True,2000,4,mvol,5,rxn2,0.3289505512284192,1e-05
"(1, 12)",True,32.895527663142346,56.087207165041754,7.6119825811468695,70,0.0001,True,2000,4,mvol,5,rxn2,0.32895746915085516,1e-05
"(1, 13)",True,32.894776803791714,54.55068813143336,9.44008565210782,58,0.0001,True,2000,4,mvol,5,rxn2,0.3289498980371174,1e-05
"(1, 14)",True,32.89682953729904,54.81970422882387,9.5695295679367,53,0.0001,True,2000,4,mvol,5,rxn2,0.3289703897219414,1e-05
"(1, 15)",True,32.89225112781608,54.84192993653685,10.024287680996165,48,0.0001,True,2000,4,mvol,5,rxn2,0.32892458068544134,1e-05
"(1, 16)",True,32.89177245749246,54.864849908747296,9.779396107608704,46,0.0001,True,2000,4,mvol,5,rxn2,0.3289197914108277,1e-05
"(1, 17)",True,32.888657614314106,54.93311178537463,9.478668711181406,48,0.0001,True,2000,4,mvol,5,rxn2,0.3288886319921681,1e-05
"(1, 18)",True,32.88433807198224,54.93866154251383,9.694713469946894,49,0.0001,True,2000,4,mvol,5,rxn2,0.3288454239911239,1e-05
"(1, 19)",True,32.885666042349314,54.94994252182015,9.71930199574361,49,0.0001,True,2000,4,mvol,5,rxn2,0.32885869964201286,1e-05
"(1, 20)",True,32.884197968401644,54.36525291057489,10.588063058767148,42,0.0001,True,2000,4,mvol,5,rxn2,0.3288440159137692,1e-05
"(1, 21)",True,32.88334674647203,54.41176283967126,10.737010161353833,40,0.0001,True,2000,4,mvol,5,rxn2,0.3288354986607337,1e-05
"(1, 22)",True,32.883807604531995,54.65869810639401,10.10634835092103,42,0.0001,True,2000,4,mvol,5,rxn2,0.32884010450502793,1e-05
"(1, 23)",True,32.88545864209625,54.70066374774994,9.931600984291613,41,0.0001,True,2000,4,mvol,5,rxn2,0.32885661049820986,1e-05
"(1, 24)",True,32.88610956648445,54.909597458180365,9.818267899809252,40,0.0001,True,2000,4,mvol,5,rxn2,0.32886310847241645,1e-05
"(1, 25)",True,32.885498008798145,54.88178682460184,9.814444335846122,40,0.0001,True,2000,4,mvol,5,rxn2,0.3288569919433204,1e-05
"(1, 26)",True,32.88601086785407,55.10416626135313,9.903983859835757,40,0.0001,True,2000,4,mvol,5,rxn2,0.32886211094031925,1e-05
"(1, 27)",True,32.88766355120659,55.2119261697141,9.752316688718864,41,0.0001,True,2000,4,mvol,5,rxn2,0.32887863413911583,1e-05
"(1, 28)",True,32.88741212648736,55.23167342259729,9.777725069944678,42,0.0001,True,2000,4,mvol,5,rxn2,0.3288761164264842,1e-05
"(1, 29)",True,32.88896790719373,55.09312425517774,9.882439896004147,40,0.0001,True,2000,4,mvol,5,rxn2,0.3288916752009559,1e-05
"(1, 30)",True,32.884868628733635,54.98955472090059,10.360959593651229,39,0.0001,True,2000,4,mvol,5,rxn2,0.3288506824728599,1e-05
"(1, 31)",True,32.885999863544015,54.93316405668014,10.433923411791197,38,0.0001,True,2000,4,mvol,5,rxn2,0.3288619933458535,1e-05
"(1, 32)",True,32.88708456193862,54.77327146751712,10.431783780868985,36,0.0001,True,2000,4,mvol,5,rxn2,0.32887284007273754,1e-05
"(1, 33)",True,32.88539405670445,54.91435129878432,10.462456604286308,34,0.0001,True,2000,4,mvol,5,rxn2,0.32885593180586736,1e-05
