points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,32.886967010196685,58.82217894255753,12.084803319091224,26,0.0001,True,2000,4,fpgm,5,rxn2,0.3288696701019668,
"(1, 3)",True,32.88537188948402,59.79299287889052,11.188369386930132,21,0.0001,True,2000,4,fpgm,5,rxn2,0.32885371889484016,
"(1, 4)",True,32.9112498175183,56.98092240317951,10.579790160810958,25,0.0001,True,2000,4,fpgm,5,rxn2,0.329112498175183,
"(1, 5)",True,32.89940866590487,56.725939887904644,9.029775133505813,28,0.0001,True,2000,4,fpgm,5,rxn2,0.3289940866590487,
"(1, 6)",True,32.899934220463756,59.38125989135679,8.972726454071553,27,0.0001,True,2000,4,fpgm,5,rxn2,0.32899934220463756,
"(1, 7)",True,32.89307743364682,57.04003209271209,9.332341527723653,26,0.0001,True,2000,4,fpgm,5,rxn2,0.3289307743364682,
"(1, 8)",True,32.89541866480873,58.91653020718388,9.402830083117696,26,0.0001,True,2000,4,fpgm,5,rxn2,0.3289541866480873,
"(1, 9)",True,32.89155899624664,58.526866080979325,9.432565445863203,28,0.0001,True,2000,4,fpgm,5,rxn2,0.32891558996246634,
"(1, 10)",True,32.89088573007263,60.19193490871264,9.56602848032888,28,0.0001,True,2000,4,fpgm,5,rxn2,0.32890885730072633,
"(1, 11)",True,32.89378225071527,61.54420200431284,9.606832786372301,30,0.0001,True,2000,4,fpgm,5,rxn2,0.3289378225071527,
"(1, 12)",True,32.89379155613655,62.371399824305044,9.388041562920275,33,0.0001,True,2000,4,fpgm,5,rxn2,0.3289379155613655,
"(1, 13)",True,32.89338417399136,60.54920562438575,10.667891635562222,26,0.0001,True,2000,4,fpgm,5,rxn2,0.3289338417399136,
"(1, 14)",True,32.8944577449946,61.49914993487275,10.685074951318247,27,0.0001,True,2000,4,fpgm,5,rxn2,0.328944577449946,
"(1, 15)",True,32.890746162443996,61.057448441818856,10.596315617929363,28,0.0001,True,2000,4,fpgm,5,rxn2,0.32890746162443996,
"(1, 16)",True,32.890351193662,61.47881201163461,10.690385635619347,27,0.0001,True,2000,4,fpgm,5,rxn2,0.32890351193662,
"(1, 17)",True,32.887238730052196,61.67371603758592,10.135812700802695,30,0.0001,True,2000,4,fpgm,5,rxn2,0.328872387300522,
"(1, 18)",True,32.883218249118315,61.127514369282714,9.83945375248216,33,0.0001,True,2000,4,fpgm,5,rxn2,0.3288321824911832,
"(1, 19)",True,32.884308204513616,61.225065083795656,10.13536784760016,33,0.0001,True,2000,4,fpgm,5,rxn2,0.3288430820451362,
"(1, 20)",True,32.882531384399655,61.30227496193973,11.382853592823032,29,0.0001,True,2000,4,fpgm,5,rxn2,0.32882531384399655,
"(1, 21)",True,32.88151306106236,61.64735771383114,11.814772388809978,27,0.0001,True,2000,4,fpgm,5,rxn2,0.32881513061062356,
"(1, 22)",True,32.88139908210737,61.86679596517397,11.153966555510415,31,0.0001,True,2000,4,fpgm,5,rxn2,0.3288139908210737,
"(1, 23)",True,32.88271587292473,62.199707405686446,11.172674442464483,30,0.0001,True,2000,4,fpgm,5,rxn2,0.3288271587292473,
"(1, 24)",True,32.8833468519069,63.124909820152844,11.638416459153422,25,0.0001,True,2000,4,fpgm,5,rxn2,0.32883346851906897,
"(1, 25)",True,32.882548501085815,63.25718378681532,11.832486124262894,25,0.0001,True,2000,4,fpgm,5,rxn2,0.3288254850108581,
"(1, 26)",True,32.88280084579905,63.16422904997993,11.691843274706473,26,0.0001,True,2000,4,fpgm,5,rxn2,0.32882800845799054,
"(1, 27)",True,32.884272206367385,63.0822293939346,11.54426759299144,27,0.0001,True,2000,4,fpgm,5,rxn2,0.3288427220636739,
"(1, 28)",True,32.88461746834265,62.00610006898086,10.920779780874877,33,0.0001,True,2000,4,fpgm,5,rxn2,0.3288461746834265,
"(1, 29)",True,32.88564921227966,62.134613855503,11.615751157137574,32,0.0001,True,2000,4,fpgm,5,rxn2,0.3288564921227966,
"(1, 30)",True,32.8817031783991,62.10870661600711,12.228020278259129,30,0.0001,True,2000,4,fpgm,5,rxn2,0.32881703178399097,
"(1, 31)",True,32.88265606372771,62.01637045147931,12.406226708866555,29,0.0001,True,2000,4,fpgm,5,rxn2,0.32882656063727705,
"(1, 32)",True,32.883769408029885,62.773916183887245,12.795316315246037,23,0.0001,True,2000,4,fpgm,5,rxn2,0.32883769408029884,
"(1, 33)",True,32.883396281154035,62.44086219143466,12.563931552592402,23,0.0001,True,2000,4,fpgm,5,rxn2,0.32883396281154037,
"(1, 34)",True,32.879175162703326,62.84721924232389,13.268040453888966,18,0.0001,True,2000,4,fpgm,5,rxn2,0.3287917516270333,
"(1, 35)",True,32.87834353026462,62.81539002852177,13.272146789009819,18,0.0001,True,2000,4,fpgm,5,rxn2,0.3287834353026462,
"(1, 36)",True,32.87832849594261,62.792844725346605,13.273229443180972,18,0.0001,True,2000,4,fpgm,5,rxn2,0.3287832849594261,
"(1, 37)",True,32.87838698067683,62.571563569163665,13.032412010882993,19,0.0001,True,2000,4,fpgm,5,rxn2,0.3287838698067683,
"(1, 38)",True,32.87831249821835,62.73148928894854,13.301741406770214,18,0.0001,True,2000,4,fpgm,5,rxn2,0.3287831249821835,
"(1, 39)",True,32.8778162495731,62.774011725649686,13.491797276315454,16,0.0001,True,2000,4,fpgm,5,rxn2,0.328778162495731,
"(1, 40)",True,32.87718297800427,62.772583029721034,13.548440828204136,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287718297800427,
"(1, 41)",True,32.877179322580645,62.60408509077651,13.445459979341278,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877179322580646,
"(1, 42)",True,32.876973150804005,62.641346019125756,13.520900009804153,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32876973150804006,
"(1, 43)",True,32.87684715056996,62.587258898671195,13.507300640679377,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287684715056996,
"(1, 44)",True,32.876795693227336,62.62847140526435,13.55355676453956,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287679569322734,
"(1, 45)",True,32.8771938425794,62.51778157806663,13.468495847958637,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877193842579405,
"(1, 46)",True,32.877278021394055,62.50725416399263,13.491906076518411,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287727802139405,
"(1, 47)",True,32.877195857452065,62.50333429507727,13.532330361004043,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877195857452063,
"(1, 48)",True,32.877362431101126,62.52516567275945,13.460947259259246,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877362431101126,
"(1, 49)",True,32.87751292687851,62.47875296803899,13.468633248337726,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287751292687851,
"(1, 50)",True,32.877617356382046,62.403446483719996,13.424047698083916,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287761735638205,
"(1, 51)",True,32.87752988105916,62.415425279221225,13.515026357979462,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877529881059164,
"(1, 52)",True,32.87763057209479,62.32812338228224,13.505574333687331,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877630572094785,
"(1, 53)",True,32.877733279801426,62.33481675903031,13.489250792227661,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877733279801424,
"(1, 54)",True,32.87763258487588,62.31884220920436,13.527106676989701,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287763258487588,
"(1, 55)",True,32.87754772493979,62.3645585067409,13.60407118222568,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287754772493979,
"(1, 56)",True,32.87760044131298,62.35848214452986,13.571008025151205,16,0.0001,True,2000,4,fpgm,5,rxn2,0.3287760044131298,
"(1, 57)",True,32.877522351026656,62.32667273435634,13.618207858718174,16,0.0001,True,2000,4,fpgm,5,rxn2,0.32877522351026656,
"(1, 58)",True,32.87783208874889,62.20156676855992,13.45904040353475,17,0.0001,True,2000,4,fpgm,5,rxn2,0.3287783208874889,
