points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,0.008671814880737847,0.21994073019183247,0.028687349901088347,485,0.0001,True,2000,4,mvol,0,rxn2,0.0022768030598019798,0.01
"(1, 3)",True,0.007006958455034005,0.10237568071742671,0.031867940489058284,362,0.0001,True,2000,4,mvol,0,rxn2,0.0022769119669164774,0.01
"(1, 4)",True,0.006467332605812511,0.06438455162270786,0.0321675843671534,309,0.0001,True,2000,4,mvol,0,rxn2,0.0022769782681003096,0.01
"(1, 5)",True,0.00615126638767519,0.05521414987737242,0.03088718607467796,268,0.0001,True,2000,4,mvol,0,rxn2,0.0022769604048187113,0.01
"(1, 6)",True,0.005850629418446246,0.1225482980035787,0.009186541035177092,211,0.0001,True,2000,4,mvol,0,rxn2,0.002276457039784621,0.01
"(1, 7)",True,0.006343865031456675,0.12863232228572488,0.01946061652328896,230,0.0001,True,2000,4,mvol,0,rxn2,0.002276613185756345,0.01
"(1, 8)",True,0.006932977529855707,0.1340690756522285,0.028441138468184263,261,0.0001,True,2000,4,mvol,0,rxn2,0.0022768256563812056,0.01
"(1, 9)",True,0.007240398854149347,0.1467507214088141,0.03112260311543817,296,0.0001,True,2000,4,mvol,0,rxn2,0.0022769043564651033,0.01
"(1, 10)",True,0.0074778184874884435,0.16716699025105441,0.031182790224226997,331,0.0001,True,2000,4,mvol,0,rxn2,0.0022769108835777995,0.01
"(1, 11)",True,0.007885545765519125,0.196426391231539,0.030822200979719848,364,0.0001,True,2000,4,mvol,0,rxn2,0.002276924698467209,0.01
"(1, 12)",True,0.00830578461756067,0.22783268498941098,0.03050216888789354,401,0.0001,True,2000,4,mvol,0,rxn2,0.0022769376909451597,0.01
"(1, 13)",True,0.00880146579456528,0.26245756982319424,0.030185927047991706,438,0.0001,True,2000,4,mvol,0,rxn2,0.0022769438165093528,0.01
"(1, 14)",True,0.00937478665120106,0.29935230102162713,0.030586231479468883,477,0.0001,True,2000,4,mvol,0,rxn2,0.0022769650679180546,0.01
"(1, 15)",True,0.010016371805023986,0.3384765841645303,0.031913290117967306,518,0.0001,True,2000,4,mvol,0,rxn2,0.0022770119401709092,0.01
"(1, 16)",True,0.01060917012477812,0.37617441184310946,0.03369777464779183,561,0.0001,True,2000,4,mvol,0,rxn2,0.0022770519152553992,0.01
"(1, 17)",True,0.01116590163043536,0.4126649310880712,0.035855822237456515,606,0.0001,True,2000,4,mvol,0,rxn2,0.0022770881442388223,0.01
"(1, 18)",True,0.011754297098350885,0.4502996112740917,0.0384859228816767,651,0.0001,True,2000,4,mvol,0,rxn2,0.0022771440811532803,0.01
"(1, 19)",True,0.012251646895178948,0.4843334120966928,0.04107573109461133,697,0.0001,True,2000,4,mvol,0,rxn2,0.002277181970630669,0.01
"(1, 20)",True,0.012735716139646627,0.5174596911949518,0.043781441045581085,740,0.0001,True,2000,4,mvol,0,rxn2,0.0022772296430279525,0.01
"(1, 21)",True,0.013254509239687568,0.5515726360621267,0.04677685850090641,767,0.0001,True,2000,4,mvol,0,rxn2,0.0022773162100238496,0.01
"(1, 22)",True,0.013609594238449407,0.5781979144599326,0.049165672015255665,798,0.0001,True,2000,4,mvol,0,rxn2,0.0022773569420791832,0.01
"(1, 23)",True,0.013588575907267739,0.5878204023239442,0.04996509924403425,835,0.0001,True,2000,4,mvol,0,rxn2,0.0022772647285622654,0.01
"(1, 24)",True,0.013906142142536902,0.6106151066794135,0.05208552257380906,869,0.0001,True,2000,4,mvol,0,rxn2,0.0022773159938266436,0.01
"(1, 25)",True,0.014125182266674346,0.6280951705170816,0.05374829628058191,901,0.0001,True,2000,4,mvol,0,rxn2,0.0022773416304555315,0.01
"(1, 26)",True,0.014336810916997,0.6442259718959338,0.055294164416060256,930,0.0001,True,2000,4,mvol,0,rxn2,0.002277374476182712,0.01
"(1, 27)",True,0.014472919535355773,0.6560316528387833,0.05645551542587361,957,0.0001,True,2000,4,mvol,0,rxn2,0.00227738642923721,0.01
"(1, 28)",True,0.014632452341998382,0.6680278358092481,0.05762314483806141,980,0.0001,True,2000,4,mvol,0,rxn2,0.0022774157859102536,0.01
"(1, 29)",True,0.014787345463430952,0.6790619777198426,0.05870078558158238,1001,0.0001,True,2000,4,mvol,0,rxn2,0.002277449765283802,0.01
"(1, 30)",True,0.01488511764116926,0.6868306539917781,0.059481466394326755,1020,0.0001,True,2000,4,mvol,0,rxn2,0.002277466168980717,0.01
"(1, 31)",True,0.014921818087098958,0.6912113546247499,0.05995382072979608,1037,0.0001,True,2000,4,mvol,0,rxn2,0.002277462331934305,0.01
"(1, 32)",True,0.014992719187427572,0.6966754375103926,0.060516992355608916,1052,0.0001,True,2000,4,mvol,0,rxn2,0.002277475808594971,0.01
"(1, 33)",True,0.01508447711161221,0.7027068922751434,0.06112016763014865,1064,0.0001,True,2000,4,mvol,0,rxn2,0.0022775014218374802,0.01
"(1, 34)",True,0.015102468110647383,0.7049725497011287,0.06138479297008888,1075,0.0001,True,2000,4,mvol,0,rxn2,0.0022774993767301515,0.01
"(1, 35)",True,0.015167120374786645,0.7091319888183777,0.061811422475786526,1084,0.0001,True,2000,4,mvol,0,rxn2,0.0022775185966828664,0.01
"(1, 36)",True,0.015164564539423643,0.7099251232160971,0.06193702923137884,1093,0.0001,True,2000,4,mvol,0,rxn2,0.002277511361650063,0.01
"(1, 37)",True,0.015226892404714771,0.7135004648273728,0.06231827649589053,1099,0.0001,True,2000,4,mvol,0,rxn2,0.002277533300843462,0.01
"(1, 38)",True,0.015236778206730923,0.7144135031996154,0.0624857245517557,1105,0.0001,True,2000,4,mvol,0,rxn2,0.00227753485746362,0.01
"(1, 39)",True,0.015212659625747088,0.7136412686761706,0.06250054035042314,1111,0.0001,True,2000,4,mvol,0,rxn2,0.00227752268008847,0.01
"(1, 40)",True,0.01526931089483764,0.7165869659056872,0.06283764620594987,1114,0.0001,True,2000,4,mvol,0,rxn2,0.0022775450977214266,0.01
"(1, 41)",True,0.015264325415363988,0.7165863068375273,0.06290744626371797,1118,0.0001,True,2000,4,mvol,0,rxn2,0.0022775419344965983,0.01
"(1, 42)",True,0.015255296167872122,0.7163504626887152,0.06294954914869563,1121,0.0001,True,2000,4,mvol,0,rxn2,0.002277537514609487,0.01
"(1, 43)",True,0.01528762793353459,0.7180195620910843,0.0631576905257706,1123,0.0001,True,2000,4,mvol,0,rxn2,0.0022775505838416987,0.01
